main_category,category,sku,item_name,usd_price,upc,item_weight,item_length,item_width,item_height,part_number,manufacturer,brand_name,part_number,product_description
Units,Pumps,11008,PMP INTELLIFLO i1 ,883.19,7.88E+11,48,28,12,15,11008,Pentair,Pentair,11008,PMP INTELLIFLO i1 
Units,Pumps,11012,PMP INTELLIFLO VF ,1254.61,7.88E+11,47,12.5,28,15.5,11012,Pentair,Pentair,11012,PMP INTELLIFLO VF 
Units,Pumps,11017,PMP INTELLIFLO VS+ SVRS ,1034.06,7.88E+11,48,28.1,12.2,14.5,11017,Pentair,Pentair,11017,PMP INTELLIFLO VS+ SVRS 
Units,Pumps,11018,PMP INTELLIFLO VRBLE SPD ,883.19,7.88E+11,48,28,12.5,15,11018,Pentair,Pentair,11018,PMP INTELLIFLO VRBLE SPD 
Units,Pumps,11019,PMP INTELLIFLO VS+SVRS DISPLAY UNIT ALMOND,445.72,7.88E+11,48,28.1,12.2,14.5,11019,Pentair,Pentair,11019,PMP INTELLIFLO VS+SVRS DISPLAY UNIT ALMOND
Units,Pumps,11021,PMP WFK-3 208/230/460V 3/4HP 3PH 60HZ,442.54,7.88E+11,31.8,27.75,12.25,14.75,11021,Pentair,Pentair,11021,PMP WFK-3 208/230/460V 3/4HP 3PH 60HZ
Units,Pumps,11088,PMP INTLFLO VRBLE DSPLY UNIT,445.72,7.88E+11,48,28,13,15,11088,Pentair,Pentair,11088,PMP INTLFLO VRBLE DSPLY UNIT
Units,Pumps,11486,PMP W/SWTCH WFDS-4 230V 1HP 2SP FULLRATED 60HZ,498.28,7.88E+11,47.5,27.5,12.25,15,11486,Pentair,Pentair,11486,PMP W/SWTCH WFDS-4 230V 1HP 2SP FULLRATED 60HZ
Units,Pumps,11511,PMP WFE-2 115/208-230V 1/2HP FULLRATED ENGY EFF,385.28,7.88E+11,44.34,27.5,12.25,15.25,11511,Pentair,Pentair,11511,PMP WFE-2 115/208-230V 1/2HP FULLRATED ENGY EFF
Units,Pumps,11512,PMP WFE-3 115/208-230V 3/4HP FULLRATED ENGY EFF,415.19,7.88E+11,44.42,27.5,12.25,15.25,11512,Pentair,Pentair,11512,PMP WFE-3 115/208-230V 3/4HP FULLRATED ENGY EFF
Units,Pumps,11513,PMP WFE-4 115/208-230V 1HP FULLRATED ENGY EFF,448.7,7.88E+11,45,12,27.5,14.5,11513,Pentair,Pentair,11513,PMP WFE-4 115/208-230V 1HP FULLRATED ENGY EFF
Units,Pumps,11514,PMP WFE-6 20/-230V 1.5HP FULLRATED ENGY EFFICIENT,492.85,7.88E+11,55,12,27.5,14.5,11514,Pentair,Pentair,11514,PMP WFE-6 20/-230V 1.5HP FULLRATED ENGY EFFICIENT
Units,Pumps,11515,PMP WFE-8 208-230V 2HP FULLRATED ENGY EFFICIENT,579.54,7.88E+11,57,12,27.5,14.5,11515,Pentair,Pentair,11515,PMP WFE-8 208-230V 2HP FULLRATED ENGY EFFICIENT
Units,Pumps,11516,PMP WFE-12 208-230V 3HP FULLRATED ENGY EFFICIENT,708.9,7.88E+11,55,13,28,14.5,11516,Pentair,Pentair,11516,PMP WFE-12 208-230V 3HP FULLRATED ENGY EFFICIENT
Units,Pumps,11517,PMP WFE-24 115/208-230V 1HP UPRATE ENGY EFFICIEN,425.23,7.88E+11,44.24,27.5,12.25,15.25,11517,Pentair,Pentair,11517,PMP WFE-24 115/208-230V 1HP UPRATE ENGY EFFICIEN
Units,Pumps,11518,PMP WFE-26 115/208-230V 1 1/2HP UPRATE ENGY EFFI,459.53,7.88E+11,46,12,27.5,14.5,11518,Pentair,Pentair,11518,PMP WFE-26 115/208-230V 1 1/2HP UPRATE ENGY EFFI
Units,Pumps,11519,PMP WFE-28 208-230V 2HP UPRATE ENGY EFFICIENT,504.75,7.88E+11,53,12,27.5,15,11519,Pentair,Pentair,11519,PMP WFE-28 208-230V 2HP UPRATE ENGY EFFICIENT
Units,Pumps,11520,PMP WFE-30 208-230V 2 1/2HP UPRATE ENGY EFF,593.54,7.88E+11,55,12.5,28,15,11520,Pentair,Pentair,11520,PMP WFE-30 208-230V 2 1/2HP UPRATE ENGY EFF
Units,Pumps,11522,PMP W/SWTCH WFDS-6 230V 11/2HP FULLRATED 60HZ,599.94,7.88E+11,55,12,27.5,15,11522,Pentair,Pentair,11522,PMP W/SWTCH WFDS-6 230V 11/2HP FULLRATED 60HZ
Units,Pumps,11523,PMP W/SWTCH WFDS-8 230V 2HP 2SP FULLRATED 60HZ,698.03,7.88E+11,57,12,28,15,11523,Pentair,Pentair,11523,PMP W/SWTCH WFDS-8 230V 2HP 2SP FULLRATED 60HZ
Units,Pumps,11524,PMP W/SWTCH WFDS-28 230V 2HP 2SP UPRATED 60HZ,599.91,7.88E+11,56,12,27.5,15,11524,Pentair,Pentair,11524,PMP W/SWTCH WFDS-28 230V 2HP 2SP UPRATED 60HZ
Units,Pumps,11525,PMP W/SWTCH WFDS-30 230V 21/2HP 2SP UPRATED 60HZ,698.03,7.88E+11,55.1,27.5,12.5,15,11525,Pentair,Pentair,11525,PMP W/SWTCH WFDS-30 230V 21/2HP 2SP UPRATED 60HZ
Units,Filters,11555,FLT SMBW 4048 ,676.75,7.88E+11,85,22,22,39,11555,Pentair,Pentair,11555,FLT SMBW 4048 
Units,Pumps,11568,PMP WFK-4 208/230/460V 1HP 3PH 60HZ,473.05,7.88E+11,41.55,27.5,12.5,14.75,11568,Pentair,Pentair,11568,PMP WFK-4 208/230/460V 1HP 3PH 60HZ
Units,Pumps,11569,PMP WFK-6 208/230/460V 1 1/2HP 3PH 60HZ,519.6,7.88E+11,41.3,27.75,12.25,15,11569,Pentair,Pentair,11569,PMP WFK-6 208/230/460V 1 1/2HP 3PH 60HZ
Units,Pumps,11570,PMP WFK-8 208/230/460V 2HP 3PH 60HZ,610.99,7.88E+11,56,12,27.5,15,11570,Pentair,Pentair,11570,PMP WFK-8 208/230/460V 2HP 3PH 60HZ
Units,Pumps,11571,PMP WFK-12 208/230/460V 3HP 3PH 60HZ,747.38,7.88E+11,58,27.75,12.5,15.25,11571,Pentair,Pentair,11571,PMP WFK-12 208/230/460V 3HP 3PH 60HZ
Units,Pumps,11578,PMP WF-2 115/208-230v 1/2H STD,370.37,7.88E+11,41,12,28,15,11578,Pentair,Pentair,11578,PMP WF-2 115/208-230v 1/2H STD
Units,Pumps,11579,PMP WF-3 115/208-230V 3/4HP STD,404.66,7.88E+11,34.6,27.5,12.5,15.25,11579,Pentair,Pentair,11579,PMP WF-3 115/208-230V 3/4HP STD
Units,Pumps,11580,PMP WF-4 115/208-230V 1HP STD,425.95,7.88E+11,41,12.5,28,14.5,11580,Pentair,Pentair,11580,PMP WF-4 115/208-230V 1HP STD
Units,Pumps,11581,PMP WF-6 115/208-230V 1.5HP STD,462.34,7.88E+11,51.76,27.5,12.5,15.25,11581,Pentair,Pentair,11581,PMP WF-6 115/208-230V 1.5HP STD
Units,Pumps,11582,PMP WF-8 208-230V 2HP STD,544.14,7.88E+11,50,12,27.5,15,11582,Pentair,Pentair,11582,PMP WF-8 208-230V 2HP STD
Units,Pumps,11583,PMP WF-12 230V 3HP STD ,700.31,7.88E+11,53.44,27.5,12.25,15.25,11583,Pentair,Pentair,11583,PMP WF-12 230V 3HP STD 
Units,Pumps,11601,PMP CMK 50 BR 3PH L/H&L ,3386.77,7.88E+11,286,20,45,22,11601,Pentair,Pentair,11601,PMP CMK 50 BR 3PH L/H&L 
Units,Pumps,11602,PMP CMK 75 BR 3PH L/H&L ,3474.85,7.88E+11,296,20,45,22,11602,Pentair,Pentair,11602,PMP CMK 75 BR 3PH L/H&L 
Units,Pumps,11603,PMP CMK 100BR 3PH L/H-L ,3935.84,7.88E+11,224,20,45,22,11603,Pentair,Pentair,11603,PMP CMK 100BR 3PH L/H-L 
Units,Pumps,11604,PMP CMK 150BR 3PH L/H-L ,4199.15,7.88E+11,346,20,45,22,11604,Pentair,Pentair,11604,PMP CMK 150BR 3PH L/H-L 
Units,Pumps,11605,PMP CH 50 BR 1PH L/H&L ,3577.29,7.88E+11,302,20,45,22,11605,Pentair,Pentair,11605,PMP CH 50 BR 1PH L/H&L 
Units,Pumps,11606,PMP CHK 50 BR 3PH L/H&L ,3386.77,7.88E+11,286,20,45,22,11606,Pentair,Pentair,11606,PMP CHK 50 BR 3PH L/H&L 
Units,Pumps,11607,PMP CHK 75 BR 3PH L/H&L ,3474.85,7.88E+11,299,20,45,22,11607,Pentair,Pentair,11607,PMP CHK 75 BR 3PH L/H&L 
Units,Pumps,11608,PMP CHK 100BR 3PH L/H-L ,3935.83,7.88E+11,266,20,45,22,11608,Pentair,Pentair,11608,PMP CHK 100BR 3PH L/H-L 
Units,Pumps,11609,PMP CHK 150BR 3PH L/H-L ,4199.15,7.88E+11,348,20,45,22,11609,Pentair,Pentair,11609,PMP CHK 150BR 3PH L/H-L 
Units,Pumps,11610,PMP CHK 200BR 3PH L/H-L ,5406.95,7.88E+11,424,20,45,22,11610,Pentair,Pentair,11610,PMP CHK 200BR 3PH L/H-L 
Units,Pumps,11651,PMP CM50 BR NSF 1PH ,4140.45,7.88E+11,352,20,45,22,11651,Pentair,Pentair,11651,PMP CM50 BR NSF 1PH 
Units,Pumps,11652,PMP CMK50 BR NSF 3PH ,3941.39,7.88E+11,336,20,45,22,11652,Pentair,Pentair,11652,PMP CMK50 BR NSF 3PH 
Units,Pumps,11653,PMP CMK75 BR NSF 3PH ,4034.52,7.88E+11,346,20,45,22,11653,Pentair,Pentair,11653,PMP CMK75 BR NSF 3PH 
Units,Pumps,11654,PMP CMK100 BR NSF 3PH ,4514.99,7.88E+11,374,20,45,22,11654,Pentair,Pentair,11654,PMP CMK100 BR NSF 3PH 
Units,Pumps,11655,PMP CMK150 BR NSF 3PH ,4791.1,7.88E+11,396,20,45,22,11655,Pentair,Pentair,11655,PMP CMK150 BR NSF 3PH 
Units,Pumps,11656,PMP CH50 BR NSF 1PH ,4140.45,7.88E+11,352,20,45,22,11656,Pentair,Pentair,11656,PMP CH50 BR NSF 1PH 
Units,Pumps,11657,PMP CHK50 BR NSF 3PH ,3941.39,7.88E+11,336,20,45,22,11657,Pentair,Pentair,11657,PMP CHK50 BR NSF 3PH 
Units,Pumps,11658,PMP CHK75 BR NSF 3PH ,4034.51,7.88E+11,349,20,45,22,11658,Pentair,Pentair,11658,PMP CHK75 BR NSF 3PH 
Units,Pumps,11659,PMP CHK100 BR NSF 3PH ,4515,7.88E+11,376,20,45,22,11659,Pentair,Pentair,11659,PMP CHK100 BR NSF 3PH 
Units,Pumps,11660,PMP CHK150 BR NSF 3PH ,4791.1,7.88E+11,398,20,45,22,11660,Pentair,Pentair,11660,PMP CHK150 BR NSF 3PH 
Units,Pumps,11661,PMP CHK200 BR NSF 3PH ,5793.15,7.88E+11,403,20,45,22,11661,Pentair,Pentair,11661,PMP CHK200 BR NSF 3PH 
Units,Pumps,11771,PMP WF-23 115/208-230V 3/4HP STD UPRATED,370.37,7.88E+11,37.84,27.5,12.25,15.25,11771,Pentair,Pentair,11771,PMP WF-23 115/208-230V 3/4HP STD UPRATED
Units,Pumps,11772,PMP WF-24 115/208-230V 1HP STD UPRATED,404.66,7.88E+11,39.7,27.5,12.25,15.25,11772,Pentair,Pentair,11772,PMP WF-24 115/208-230V 1HP STD UPRATED
Units,Pumps,11773,PMP WF-26 115/208-230V 1.5HP STD UPRATED,425.95,7.88E+11,41,12.5,27.5,15,11773,Pentair,Pentair,11773,PMP WF-26 115/208-230V 1.5HP STD UPRATED
Units,Pumps,11774,PMP WF-28 115/208-230V 2HP STD UPRATED,462.34,7.88E+11,53,27.5,12,14.5,11774,Pentair,Pentair,11774,PMP WF-28 115/208-230V 2HP STD UPRATED
Units,Pumps,11775,PMP WF-30 208-230V 2 1/2HP STD UPRATED,544.14,7.88E+11,55,12,27.5,15,11775,Pentair,Pentair,11775,PMP WF-30 208-230V 2 1/2HP STD UPRATED
Units,Pumps,12485,PMP W/SWTCH WFDS-24 115V 1HP 2SP UPRATED 60HZ,461.92,7.88E+11,44.5,27.75,12.5,14.75,12485,Pentair,Pentair,12485,PMP W/SWTCH WFDS-24 115V 1HP 2SP UPRATED 60HZ
Units,Pumps,12518,PMP W/SWTCH WFDS-26 230V 11/2HP 2SP UPRATED 60HZ,498.28,7.88E+11,47.15,27.5,12.25,15,12518,Pentair,Pentair,12518,PMP W/SWTCH WFDS-26 230V 11/2HP 2SP UPRATED 60HZ
Units,Pumps,12530,PMP W/SWTCH WFDS-3 115V 3/4HP 2SP FULLRATED 60HZ,461.91,7.88E+11,46.2,27.5,12.25,15.25,12530,Pentair,Pentair,12530,PMP W/SWTCH WFDS-3 115V 3/4HP 2SP FULLRATED 60HZ
Units,Pumps,14700,CMKL-50 MTR ASY 5HP 3PH MED HEAD 50 CYCLE,2497.06,7.88E+11,N/A,N/A,N/A,N/A,14700,Pentair,Pentair,14700,CMKL-50 MTR ASY 5HP 3PH MED HEAD 50 CYCLE
Units,Pumps,14701,CMKL-75 MTR ASY 7.5HP 3PH MED HEAD 50 CYCLE,2563.5,7.88E+11,202,45,21,26,14701,Pentair,Pentair,14701,CMKL-75 MTR ASY 7.5HP 3PH MED HEAD 50 CYCLE
Units,Pumps,14702,CMK-100 MTR ASY 10HP 3PH MED HEAD 50 CYCLE,3291.56,7.88E+11,N/A,N/A,N/A,N/A,14702,Pentair,Pentair,14702,CMK-100 MTR ASY 10HP 3PH MED HEAD 50 CYCLE
Units,Pumps,14703,CMK-150 MTR ASY 15HP 3PH MED HEAD 50 CYCLE,3626.31,7.88E+11,N/A,N/A,N/A,N/A,14703,Pentair,Pentair,14703,CMK-150 MTR ASY 15HP 3PH MED HEAD 50 CYCLE
Units,Pumps,14801,CHKL-50 MTR ASY 5HP 3P HIGH HEAD 50 CYCLE,2497.06,7.88E+11,N/A,N/A,N/A,N/A,14801,Pentair,Pentair,14801,CHKL-50 MTR ASY 5HP 3P HIGH HEAD 50 CYCLE
Units,Pumps,14802,CHKL-75 MTR ASY 7.5HP 3P HIGH HEAD 50 CYCLE,2563.5,7.88E+11,202,N/A,N/A,N/A,14802,Pentair,Pentair,14802,CHKL-75 MTR ASY 7.5HP 3P HIGH HEAD 50 CYCLE
Units,Pumps,14803,CHKL-100 MTR ASY 10HP 3P HIGH HEAD 50 CYCLE,3291.56,7.88E+11,N/A,N/A,N/A,N/A,14803,Pentair,Pentair,14803,CHKL-100 MTR ASY 10HP 3P HIGH HEAD 50 CYCLE
Units,Pumps,14804,CHKL-150 MTR ASY 15HP 3PH HIGH HEAD 50 CYCLE,3626.31,7.88E+11,N/A,N/A,N/A,N/A,14804,Pentair,Pentair,14804,CHKL-150 MTR ASY 15HP 3PH HIGH HEAD 50 CYCLE
Units,Pumps,14805,CHKL-200 MTR ASY 20HP 3PH HIGH HEAD 50 CYCLE,5175.79,7.88E+11,N/A,N/A,N/A,N/A,14805,Pentair,Pentair,14805,CHKL-200 MTR ASY 20HP 3PH HIGH HEAD 50 CYCLE
Units,Pumps,14880,PMP CHKL 50 W/POT ,3941.39,7.88E+11,336,20,45,22,14880,Pentair,Pentair,14880,PMP CHKL 50 W/POT 
Units,Pumps,14881,PMP CHKL 75 W/POT ,4034.52,7.88E+11,346,20,45,22,14881,Pentair,Pentair,14881,PMP CHKL 75 W/POT 
Units,Pumps,14882,PMP CHKL 100 W/POT ,4514.99,7.88E+11,374,20,45,22,14882,Pentair,Pentair,14882,PMP CHKL 100 W/POT 
Units,Pumps,14883,PMP CHKL 150 W/POT ,4791.1,7.88E+11,396,20,45,22,14883,Pentair,Pentair,14883,PMP CHKL 150 W/POT 
Units,Pumps,14884,PMP CHKL 200 W/POT ,5793.15,7.88E+11,403,20,45,22,14884,Pentair,Pentair,14884,PMP CHKL 200 W/POT 
Units,Pumps,14900,PMP CMKL 50 W/POT ,3941.39,7.88E+11,336,20,45,22,14900,Pentair,Pentair,14900,PMP CMKL 50 W/POT 
Units,Pumps,14901,PMP CMKL 75 W/POT ,4034.52,7.88E+11,346,20,45,22,14901,Pentair,Pentair,14901,PMP CMKL 75 W/POT 
Units,Pumps,14902,PMP CMKL 100 W/POT ,4514.99,7.88E+11,376,20,45,22,14902,Pentair,Pentair,14902,PMP CMKL 100 W/POT 
Units,Pumps,14903,PMP CMKL 150 W/POT ,4791.1,7.88E+11,398,20,45,22,14903,Pentair,Pentair,14903,PMP CMKL 150 W/POT 
Units,Pumps,16903,PMP CMKL 150 WO POT ,4011.68,7.88E+11,348,20,45,22,16903,Pentair,Pentair,16903,PMP CMKL 150 WO POT 
Units,Pumps,22005,PMP INT VS INTLFLO XF VARIABLE SPEED,940.77,7.88E+11,56,27,13,16,22005,Pentair,Pentair,22005,PMP INT VS INTLFLO XF VARIABLE SPEED
Units,Pumps,22007,PMP XFDS-8 208-230V 2HP 2SP FULL RATED WF,675.57,7.88E+11,55,27,13,16,22007,Pentair,Pentair,22007,PMP XFDS-8 208-230V 2HP 2SP FULL RATED WF
Units,Pumps,22008,PMP XFDS-12 230V 3HP 2SP FULL RATED,781.65,7.88E+11,66,27,13,16,22008,Pentair,Pentair,22008,PMP XFDS-12 230V 3HP 2SP FULL RATED
Units,Pumps,22009,PMP XFE-8 208-230V 2HP EE FULL RATED,558.32,7.88E+11,55,27,13,16,22009,Pentair,Pentair,22009,PMP XFE-8 208-230V 2HP EE FULL RATED
Units,Pumps,22010,PMP XFE-12 208-230V 3HP EE FULL RATED,761.28,7.88E+11,60,28.5,14.5,18,22010,Pentair,Pentair,22010,PMP XFE-12 208-230V 3HP EE FULL RATED
Units,Pumps,22011,PMP XFE-20 208-230V 5HP EE FULL RATED,1327.69,7.88E+11,72,30,13,17,22011,Pentair,Pentair,22011,PMP XFE-20 208-230V 5HP EE FULL RATED
Units,Pumps,22012,PMP XF-8 208-230V 2HP STD EFFICIENCY FULL RATE,538.22,7.88E+11,55,27,13,16,22012,Pentair,Pentair,22012,PMP XF-8 208-230V 2HP STD EFFICIENCY FULL RATE
Units,Pumps,22013,PMP XF-12 230V 3HP STD EFFICIENCY FULL RATE,734.69,7.88E+11,60,28.5,14.5,18,22013,Pentair,Pentair,22013,PMP XF-12 230V 3HP STD EFFICIENCY FULL RATE
Units,Pumps,22017,PMP XFK-8 2HP TEFC 208-230/460V WFXF,676.05,7.88E+11,60,27,13,16,22017,Pentair,Pentair,22017,PMP XFK-8 2HP TEFC 208-230/460V WFXF
Units,Pumps,22018,PMP XFK-12 3HP TEFC 208-230/460V WFXF,762.05,7.88E+11,60,28.5,14.5,18,22018,Pentair,Pentair,22018,PMP XFK-12 3HP TEFC 208-230/460V WFXF
Units,Pumps,22019,PMP XFK-20 5HP TEFC 208-230/460V WFXF,1340.12,7.88E+11,72,30,13,17,22019,Pentair,Pentair,22019,PMP XFK-20 5HP TEFC 208-230/460V WFXF
Units,Pumps,22026,PMP XFDS30 2.5HP 230V 2SPD UPRATED,696.6,7.88E+11,60,27,13,16,22026,Pentair,Pentair,22026,PMP XFDS30 2.5HP 230V 2SPD UPRATED
Units,Pumps,22027,PMP XF30 2.5HP 208-230V STD UPRATED,547.98,7.88E+11,55,27,13,16,22027,Pentair,Pentair,22027,PMP XF30 2.5HP 208-230V STD UPRATED
Units,Pumps,22028,PMP XFE-30 2.5HP 208/230 V E+,595.94,7.88E+11,55,27,13,16,22028,Pentair,Pentair,22028,PMP XFE-30 2.5HP 208/230 V E+
Units,Pumps,23005,PMP INP-VS INTLPRO XF VARIABLE SPEED,940.77,7.88E+11,56,27,13,16,23005,Pentair,Pentair,23005,PMP INP-VS INTLPRO XF VARIABLE SPEED
Units,Pumps,23007,PMP XPDS-8 208-230V 2HP 2SP FULL RATED,675.57,7.88E+11,60,30.5,13,17.5,23007,Pentair,Pentair,23007,PMP XPDS-8 208-230V 2HP 2SP FULL RATED
Units,Pumps,23008,PMP XPDS-12 230V 3HP 2SP FULL RATED,781.65,7.88E+11,66,30.5,13,17.5,23008,Pentair,Pentair,23008,PMP XPDS-12 230V 3HP 2SP FULL RATED
Units,Pumps,23009,PMP XPE-8 208-230V 2HP EE FULL RATED,558.32,7.88E+11,55,30.5,13,17.5,23009,Pentair,Pentair,23009,PMP XPE-8 208-230V 2HP EE FULL RATED
Units,Pumps,23010,PMP XPE-12 208-230V 3HP ,761.28,7.88E+11,56,30.5,13,17.5,23010,Pentair,Pentair,23010,PMP XPE-12 208-230V 3HP 
Units,Pumps,23011,PMP XPE-20 208-230V 5HP EE FULL RATED,1327.69,7.88E+11,72,30.5,13,17.5,23011,Pentair,Pentair,23011,PMP XPE-20 208-230V 5HP EE FULL RATED
Units,Pumps,23012,PMP XP-8 208-230V 2HP STD EFF FULL RATED,538.22,7.88E+11,55,30.5,13,17.5,23012,Pentair,Pentair,23012,PMP XP-8 208-230V 2HP STD EFF FULL RATED
Units,Pumps,23013,PMP XP-12 230V 3HP STD EFF FULL RATE,734.69,7.88E+11,56,30.5,13,17.5,23013,Pentair,Pentair,23013,PMP XP-12 230V 3HP STD EFF FULL RATE
Units,Pumps,23017,PMP XPK-8 2HP TEFC 208-230/460V MPXF,676.05,7.88E+11,55,27,13,16,23017,Pentair,Pentair,23017,PMP XPK-8 2HP TEFC 208-230/460V MPXF
Units,Pumps,23018,PMP XPK-12 3HP TEFC 208-230/460V MPXF,762.05,7.88E+11,60,27,13,16,23018,Pentair,Pentair,23018,PMP XPK-12 3HP TEFC 208-230/460V MPXF
Units,Pumps,23019,PMP XPK-20 5HP TEFC 208-230/460V MPXF,1340.12,7.88E+11,65,27,13,16,23019,Pentair,Pentair,23019,PMP XPK-20 5HP TEFC 208-230/460V MPXF
Units,Pumps,23026,PMP XPDS-30 208-230V 2.5HP 2SP UP RATED,696.6,7.88E+11,60,30.5,13,17.5,23026,Pentair,Pentair,23026,PMP XPDS-30 208-230V 2.5HP 2SP UP RATED
Units,Pumps,23027,PMP XP-30 208-230V 2.5HP STD UP RATED,547.98,7.88E+11,55,30.5,13,17.5,23027,Pentair,Pentair,23027,PMP XP-30 208-230V 2.5HP STD UP RATED
Units,Pumps,23028,PMP XPE-30 208-230v 2.5hp EE Up-Rated,595.94,7.88E+11,55,30.5,13,17.5,23028,Pentair,Pentair,23028,PMP XPE-30 208-230v 2.5hp EE Up-Rated
Units,Lights,05082-0025,LT 300W 12V CLR LENS 25' ,171.05,7.88E+11,9,12,12,11,05082-0025,Pentair,Pentair,05082-0025,LT 300W 12V CLR LENS 25' 
Units,Lights,05082-0050,LT 300W 12V CLR LENS 50' ,188.82,7.88E+11,12,12,12,11,05082-0050,Pentair,Pentair,05082-0050,LT 300W 12V CLR LENS 50' 
Units,Lights,05082-0100,LT 300W 12V CLR LENS 100 ,200.24,7.88E+11,19,12,12,11,05082-0100,Pentair,Pentair,05082-0100,LT 300W 12V CLR LENS 100 
Units,Lights,05086-0025,LT 500W 120V CLR LENS 25',147.49,7.88E+11,9,12,12,11,05086-0025,Pentair,Pentair,05086-0025,LT 500W 120V CLR LENS 25'
Units,Lights,05086-0050,LT 500W 120V CLR LENS 50',162.86,7.88E+11,10,12,12,11,05086-0050,Pentair,Pentair,05086-0050,LT 500W 120V CLR LENS 50'
Units,Lights,05086-0100,LT 500W 120V CLR LENS 100',193.55,7.88E+11,14,12,12,11,05086-0100,Pentair,Pentair,05086-0100,LT 500W 120V CLR LENS 100'
Units,Lights,05086-0150,500W 120V CLR LENS 150' ,228.47,7.88E+11,18,12,12,11,05086-0150,Pentair,Pentair,05086-0150,500W 120V CLR LENS 150' 
Units,Lights,05086-0250,500W 120V CLR LENS 250' ,234.87,7.88E+11,1,N/A,N/A,N/A,05086-0250,Pentair,Pentair,05086-0250,500W 120V CLR LENS 250' 
Units,Lights,05603-2030,LT UW 12V 75W 30'SUNLT ,146.29,7.88E+11,4.55,8.5,8.25,8.5,05603-2030,Pentair,Pentair,05603-2030,LT UW 12V 75W 30'SUNLT 
