company,abbreviation,website,phone,class,,
A & A MANUFACTURING,AAM,Website - www.aamfg.com,Phone - (800) 851-8492,M,,M = Manufacturer
AFRAS INDUSTRIES INC,AFR,Website - www.afrasinc.com,Phone - (805) 230-0011,M,,D = Distributor
AIMS INSURANCE,AIM,Website - www.aquaguardianinsurance.com,Phone - (602) 635-4848,I,,I = Insurance Broker
AIR SUPPLY OF THE FUTURE INC.,AIR,Website - www.airsupplyflorida.com,Phone - (800) 848-3077,M,,F = Financial Company
ALADDIN EQUIPMENT CO INC.,ALA,Website - www.aladdin1950.com,Phone - (941) 371-3732,M,,
ALLIED INNOVATIONS,ALL,Website - www.alliedinnovations.com,Phone - (702) 361-0600,MD,,
AMERICAN GRANBY INC,AME,Website - www.americangranby.com,Phone - (800) 278-4115,D,,
AMPLS,AMP,Website - ,Phone - (714) 630-1313,,,
AMS FINANCIAL,AMS,Website - ,Phone - (888) 503-0685,F,,
ANCHOR INDUSTRIES INC.,ANC,Website - www.anchorinc.com,Phone - (812) 867-2421,M,,
APSP,APSP,Website - ,Phone - (703) 838-0083,M,,
AQQUATIX USA,AQQ,Website - www.aqquatixusa.com,Phone - (954) 923-3900,M,,
AQUA COMFORT TECHNOLOGIES LLC,ACOM,Website - www.aquaheaters.com,Phone - (203) 265-0100,M,,
AQUA CREEK PRODUCTS,ACRE,Website - www.aquacreek.com,Phone - (888) 687-3552,M,,
AQUA PRODUCTS,APRO,Website - www.aquaproducts.com,Phone - (973) 857-2700,M,,
AQUA SUN OZONE,ASUN,Website - www.aquasunozone.com,Phone - (760) 320-8500,M,,
AQUABOND,ABON,Website - www.aquabond.com,Phone - (714) 961-1420,M,,
AQUACAL/AUTOPILOT INC.,ACAL,Website - www.aquacal.com,Phone - (727) 823-5642,M,,
AQUAMATIC COVER SYSTEMS,AMAT,Website - www.aquamatic.com,Phone - (800) 262-4044,M,,
AQUASOL CONTROLERS INC.,ASOL,Website - www.aquasol.com,Phone - (800) 444-0675,M,,
AQUASTAR POOL PRODUCTS INC.,ASTA,Website - www.aquastarpoolproducts.com,Phone - (877) 768-2717,M,,
AQUATECTURE,ATEC,Website - www.Aquatectureplans.com,Phone - (541) 621-9105,M,,
ARTAIC-INNOVATIVE MOSAIC,ART,Website - www.artaic.com,Phone - (617) 418-1928,M,,
ARTISTIC PAVER MFG.,ARTI,Website - www.artisticpavers.com,Phone - (305) 653-7283,M,,
ASSET- THE CIRCULATOR,ASS,Website - www.swimnsaveworldwide.com,Phone - (561) 208-6535,M,,
ASTRAL PROD. INC. - A DIV. OF FLUIDRA,AST,Website - www.astralpoolusa.com,Phone - (866) 457-6657,M,,
BACKYARD BRANDS,BAC,Website - www.backyardbrands.com,Phone - (866) 875-0012,M,,
BALBOA WATER GROUP,BAL,Website - http://www.balboawatergroup.com/,Phone - (800) 645-3201,M,,
